Class,Species,Mass,Tb,Tlc,BMR,Species.Map,Longitude,Latitude,MeanTemp,MaxTemp,MinTemp,Migration
Birds,Lanius_collaris,43.8,40,25,32,Lanius_collaris,23.29398178,-12.41670557,20.80664063,29.81398315,11.41194839,Resident
Birds,Lanius_excubitor,60,39.73,30,92.7,Lanius_excubitor,43.77554193,40.8627733,13.32995911,31.05577087,-3.878443146,Long Migrants
Birds,Lichenostomus_virescens,25,40,33,51.1,Gavicalis_virescens,133.9092199,-25.79530326,22.10581512,33.94491272,8.918029785,Resident
Birds,Lichmera_indistincta,10.1,40.4,30,36.3,Lichmera_indistincta,133.4046612,-23.00475897,23.43503113,34.26020813,10.80299988,Resident
Birds,Lonchura_fuscans,9.5,38.9,30,17.2,Lonchura_fuscans,114.193461,0.85528406,25.38868408,28.78049622,22.27366333,Resident
Birds,Lophorina_superba,74.6,40.5,19,124.3,Lophorina_superba,133.282064,-1.12917044,19.61243134,22.09988251,17.05048828,Resident
Birds,Loxia_curvirostra,29.4,39.5,15,87,Loxia_curvirostra,24.74296977,52.39080718,1.805650139,22.00601654,-18.01408844,Short Migrants
Birds,Loxia_leucoptera,29.8,39.5,14,78.4,Loxia_leucoptera,-2.57958604,57.96914017,-1.993958282,20.71312103,-23.94734192,Long Migrants
Birds,Lullula_arborea,25.5,40,27.6,98.5,Lullula_arborea,26.28639202,47.91897897,9.089731598,25.51649323,-5.331945038,Long Migrants
Birds,Malurus_cyaneus,8.2,41,26,24.9,Malurus_cyaneus,147.1391611,-32.38625376,11.89714203,16.89535675,8.017230225,Resident
Birds,Manacus_vitellinus,15.5,37.9,26,40.2,Manacus_vitellinus,-77.58737106,7.2032859,25.29077148,27.77996826,23.02907715,Resident
